Video ID,Title,Comment
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),"서울대를  분산시켜 야  해결된다
좌빨  좌빨  하는데  너희들이  유물론부터  시작해서 막스사회주 의 베버합리주의까지  뭘깊게  들어다봤다고  이념을감히  말하냐.
너희들이  국부론이나  이해하냐  케인즈이론도  이해못하면서  태극기들고  우파라  똥싸고  자빠졌네.
이완용,이승만, 박정희는  독제와 전체주의 신봉자고  도상개발국이 다그랬어  이병신들아.
자유민주주의   가  먼지알아  선의의  경쟁을통한  자유시장경재 유지하면서  사회복지국가를  추구해인류공동번영을  꾀해야해.도라이들아.
그런데  뭐가어쨌다고  편을가르고 지랄이야  그럴에너지있으면  시골에가서  땅을파  이역적들아.
이간질해서  전쟁터지면  적과안싸우고 우리끼리싸워,  일제때와  6.25때도  우리끼리  밀고해서  더많이죽었어  알지도못하고 함부로  까불지마
언젠가는 까분새끼들  시범으로  다처단될때가있어요.터지면  까분놈은  맨먼저간다.명심해라.
전쟁나면  극좌,극우는  승패에따라  희생양이된다  ,그런데도  편갈라서  전쟁한번할래, 21세기전면전은  100퍼센트  재가된다.
세상이치를 좀알고  놀아라. 이우매한족속들아    우리후대들이  불쌍하지도안냐,독종 동물새끼들  뭘알겠서  모르닌까저러지."
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),"제발 상승세 둔화, 주춤하게 만들지말고 떨어지게 만들라고. 말장난쳐서 국민들 현혹하지말고. 주춤한다는건 지금 오른가격에서 더오르고있다는거 아니냐. 또 주춤하다가 조용해질때쯤 폭등할거아니냐"
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),이정도면 다 정리해라 이건뭐 ㅎㅎㅎㅎ할말이없다
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),"딴건 다 동의하는데 양도세 감면 출구만들라는데 이미,6월까지 나가랬고, 양도세는 아파트 매입가에서 손해보고 내라는게 아니고, 양도소득 즉, 불로소득에 일부내라는거니깐 출구는 늘 열려있다고 봅니다
정부는 엄청난 불로소득을 다 인정해줄수 없는겁니다."
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),"집을팔수있게 양도세중과폐지  해야지    앞으로는 더이상 집은안사지    ㅠ
코로나 땜에  모든가계소득줄고  기업도 이익 줄고 자영업자들 곡소리나는데  부동산 때려잡고  세금폭탄투여하고  규제지역늘여  대츨막고  결국 돈없는사람 집도못사 세도못들어   참잘하는짓이다  ㅠ"
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),사년후  전세갑폭등 어찌하나요
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),이 할아버지 먼저 내려와라
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),"문재인 잘한다!!.집값 계속 올려쥐서 땡큐~!!
대깨문들 거지 만들어 주어서 땡큐!!!~~ㅋㅋㅋ"
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),"그게 다 책상에 앉아서 눈알만굴리는 정책아닌가..결코 현장?을뛰지않은  . 그래서 민생을 몰라요 ..그러니뭔들 답이나올까요,,??????"
zPbxj_nwgZg,[경제현장 오늘 다시보기] 서울 집값 상승세 주춤...&#39;똘똘한 1채&#39; 선호 확대_2020년 7월 30일 (목),세종시투기과열지구 선정하라~😃
